segment_id,point_id,latitude,longitude,order_in_segment
1,110,22.00567602,113.00250000,1
1,99,22.00535842,113.00284255,2
1,88,22.00504082,113.00318510,3
1,77,22.00472322,113.00352765,4
1,66,22.00440561,113.00387021,5
1,55,22.00408801,113.00421276,6
1,44,22.00377041,113.00455531,7
1,33,22.00345281,113.00489786,8
1,22,22.00313520,113.00524041,9
1,11,22.00281760,113.00558296,10
1,111,22.00535842,113.00215745,11
1,0,22.00250000,113.00592551,12
1,100,22.00504082,113.00250000,13
1,89,22.00472322,113.00284255,14
1,78,22.00440561,113.00318510,15
1,67,22.00408801,113.00352765,16
1,56,22.00377041,113.00387021,17
1,45,22.00345281,113.00421276,18
1,34,22.00313520,113.00455531,19
1,23,22.00281760,113.00489786,20
1,12,22.00250000,113.00524041,21
1,112,22.00504082,113.00181490,22
1,1,22.00218240,113.00558296,23
1,101,22.00472322,113.00215745,24
1,90,22.00440561,113.00250000,25
1,79,22.00408801,113.00284255,26
2,68,22.00377041,113.00318510,1
2,57,22.00345281,113.00352765,2
2,46,22.00313520,113.00387021,3
2,35,22.00281760,113.00421276,4
2,24,22.00250000,113.00455531,5
2,13,22.00218240,113.00489786,6
2,113,22.00472322,113.00147235,7
2,2,22.00186480,113.00524041,8
2,102,22.00440561,113.00181490,9
2,91,22.00408801,113.00215745,10
2,80,22.00377041,113.00250000,11
2,69,22.00345281,113.00284255,12
2,58,22.00313520,113.00318510,13
2,47,22.00281760,113.00352765,14
2,36,22.00250000,113.00387021,15
2,25,22.00218240,113.00421276,16
2,14,22.00186480,113.00455531,17
2,114,22.00440561,113.00112979,18
2,3,22.00154719,113.00489786,19
2,103,22.00408801,113.00147235,20
2,92,22.00377041,113.00181490,21
2,81,22.00345281,113.00215745,22
2,70,22.00313520,113.00250000,23
2,59,22.00281760,113.00284255,24
2,48,22.00250000,113.00318510,25
2,37,22.00218240,113.00352765,26
2,26,22.00186480,113.00387021,27
3,15,22.00154719,113.00421276,1
3,115,22.00408801,113.00078724,2
3,4,22.00122959,113.00455531,3
3,104,22.00377041,113.00112979,4
3,93,22.00345281,113.00147235,5
3,82,22.00313520,113.00181490,6
3,71,22.00281760,113.00215745,7
3,60,22.00250000,113.00250000,8
3,49,22.00218240,113.00284255,9
3,38,22.00186480,113.00318510,10
3,27,22.00154719,113.00352765,11
3,16,22.00122959,113.00387021,12
3,116,22.00377041,113.00044469,13
3,5,22.00091199,113.00421276,14
3,105,22.00345281,113.00078724,15
3,94,22.00313520,113.00112979,16
3,83,22.00281760,113.00147235,17
3,72,22.00250000,113.00181490,18
3,61,22.00218240,113.00215745,19
3,50,22.00186480,113.00250000,20
3,39,22.00154719,113.00284255,21
3,28,22.00122959,113.00318510,22
3,17,22.00091199,113.00352765,23
3,117,22.00345281,113.00010214,24
4,6,22.00059439,113.00387021,1
4,106,22.00313520,113.00044469,2
4,95,22.00281760,113.00078724,3
4,84,22.00250000,113.00112979,4
4,73,22.00218240,113.00147235,5
4,62,22.00186480,113.00181490,6
4,51,22.00154719,113.00215745,7
4,40,22.00122959,113.00250000,8
4,29,22.00091199,113.00284255,9
4,18,22.00059439,113.00318510,10
4,118,22.00313520,112.99975959,11
4,7,22.00027678,113.00352765,12
4,107,22.00281760,113.00010214,13
4,96,22.00250000,113.00044469,14
4,85,22.00218240,113.00078724,15
4,74,22.00186480,113.00112979,16
4,63,22.00154719,113.00147235,17
4,52,22.00122959,113.00181490,18
4,41,22.00091199,113.00215745,19
4,30,22.00059439,113.00250000,20
4,19,22.00027678,113.00284255,21
4,119,22.00281760,112.99941704,22
4,8,21.99995918,113.00318510,23
4,108,22.00250000,112.99975959,24
4,97,22.00218240,113.00010214,25
5,86,22.00186480,113.00044469,1
5,75,22.00154719,113.00078724,2
5,64,22.00122959,113.00112979,3
5,53,22.00091199,113.00147235,4
5,42,22.00059439,113.00181490,5
5,31,22.00027678,113.00215745,6
5,20,21.99995918,113.00250000,7
5,120,22.00250000,112.99907449,8
5,9,21.99964158,113.00284255,9
5,109,22.00218240,112.99941704,10
5,98,22.00186480,112.99975959,11
5,87,22.00154719,113.00010214,12
5,76,22.00122959,113.00044469,13
5,65,22.00091199,113.00078724,14
5,54,22.00059439,113.00112979,15
5,43,22.00027678,113.00147235,16
5,32,21.99995918,113.00181490,17
5,21,21.99964158,113.00215745,18
5,10,21.99932398,113.00250000,19
