index,latitude,longitude
1,22.00519056,113.01219370
2,22.00500000,113.01198817
3,22.00480944,113.01178263
4,22.00461888,113.01157710
5,22.00442832,113.01137157
6,22.00423775,113.01116603
7,22.00404719,113.01096050
8,22.00385663,113.01075496
9,22.00366607,113.01054943
10,22.00347551,113.01034389
11,22.00328495,113.01013836
12,22.00309439,113.00993283
13,22.00290382,113.00972729
14,22.00271326,113.00952176
15,22.00252270,113.00931622
16,22.00233214,113.00911069
17,22.00214158,113.00890515
18,22.00195102,113.00869962
19,22.00176046,113.00849408
20,22.00156989,113.00828855
21,22.00137933,113.00808302
22,22.00118877,113.00787748
23,22.00099821,113.00767195
24,22.00080765,113.00746641
25,22.00061709,113.00726088
26,22.00042653,113.00705534
27,22.00023596,113.00684981
28,22.00004540,113.00664428
29,21.99985484,113.00643874
30,21.99966428,113.00623321
31,21.99947372,113.00602767
32,21.99928316,113.00582214
33,21.99909260,113.00561660
34,21.99890203,113.00541107
35,21.99871147,113.00520553
36,21.99852091,113.00500000
37,21.99833035,113.00479447
38,22.00538112,113.01198817
39,22.00519056,113.01178263
40,22.00500000,113.01157710
41,22.00480944,113.01137157
42,22.00461888,113.01116603
43,22.00442832,113.01096050
44,22.00423775,113.01075496
45,22.00404719,113.01054943
46,22.00385663,113.01034389
47,22.00366607,113.01013836
48,22.00347551,113.00993283
49,22.00328495,113.00972729
50,22.00309439,113.00952176
51,22.00290382,113.00931622
52,22.00271326,113.00911069
53,22.00252270,113.00890515
54,22.00233214,113.00869962
55,22.00214158,113.00849408
56,22.00195102,113.00828855
57,22.00176046,113.00808302
58,22.00156989,113.00787748
59,22.00137933,113.00767195
60,22.00118877,113.00746641
61,22.00099821,113.00726088
62,22.00080765,113.00705534
63,22.00061709,113.00684981
64,22.00042653,113.00664428
65,22.00023596,113.00643874
66,22.00004540,113.00623321
67,21.99985484,113.00602767
68,21.99966428,113.00582214
69,21.99947372,113.00561660
70,21.99928316,113.00541107
71,21.99909260,113.00520553
72,21.99890203,113.00500000
73,21.99871147,113.00479447
74,21.99852091,113.00458893
75,22.00557168,113.01178263
76,22.00538112,113.01157710
77,22.00519056,113.01137157
78,22.00500000,113.01116603
79,22.00480944,113.01096050
80,22.00461888,113.01075496
81,22.00442832,113.01054943
82,22.00423775,113.01034389
83,22.00404719,113.01013836
84,22.00385663,113.00993283
85,22.00366607,113.00972729
86,22.00347551,113.00952176
87,22.00328495,113.00931622
88,22.00309439,113.00911069
89,22.00290382,113.00890515
90,22.00271326,113.00869962
91,22.00252270,113.00849408
92,22.00233214,113.00828855
93,22.00214158,113.00808302
94,22.00195102,113.00787748
95,22.00176046,113.00767195
96,22.00156989,113.00746641
97,22.00137933,113.00726088
98,22.00118877,113.00705534
99,22.00099821,113.00684981
100,22.00080765,113.00664428
101,22.00061709,113.00643874
102,22.00042653,113.00623321
103,22.00023596,113.00602767
104,22.00004540,113.00582214
105,21.99985484,113.00561660
106,21.99966428,113.00541107
107,21.99947372,113.00520553
108,21.99928316,113.00500000
109,21.99909260,113.00479447
110,21.99890203,113.00458893
111,21.99871147,113.00438340
112,22.00576225,113.01157710
113,22.00557168,113.01137157
114,22.00538112,113.01116603
